U+7684	的	de,dī,dí,dì
U+8C17	谗	chán
U+5D58	嵘	róng
U+7BA9	箩	luó
U+826E	艮	gěn,gèn
U+78B1	碱	jiǎn
U+8446	葆	bǎo
U+65CE	旎	nǐ
U+8C06	谆	zhūn
U+7CBD	粽	zòng
U+7252	牒	dié
U+6CF8	泸	lú
U+853A	蔺	lìn
U+523D	刽	guì
U+9537	锷	è
U+8BCB	诋	dǐ
U+60C7	惇	dūn
U+7F1C	缜	zhěn
U+723B	爻	yáo
U+8D30	贰	èr
U+5773	坳	ào
U+7751	睑	jiǎn
U+846D	葭	jiā
U+6600	昀	yún
U+566B	噫	yī
U+59AA	妪	yù
U+9542	镂	lòu
U+7678	癸	guǐ
U+6CA3	沣	fēng
U+7B06	笆	bā
U+58EC	壬	rén
U+7EC9	绉	zhòu
U+62A8	抨	pēng
U+7B95	箕	jī
U+53F5	叵	pǒ
U+5768	坨	tuó
U+9889	颉	jié,xié
U+59F9	姹	chà
U+8D73	赳	jiū
U+742E	琮	cóng
U+710A	焊	hàn
U+6DEC	淬	cuì
U+7EAD	纭	yún
U+57E0	埠	bù
U+6CF1	泱	yāng
U+6079	恹	yān
U+6DD9	淙	cóng
U+699B	榛	zhēn
U+9175	酵	jiào
U+92AE	銮	luán
U+5B5B	孛	bèi
U+55F3	嗳	ǎi,ài
U+4F76	佶	jí
U+7292	犒	kào
U+8331	茱	zhū
U+996A	饪	rèn
U+5B6A	孪	luán
U+6CE0	泠	líng
U+783A	砺	lì
U+907D	遽	jù
U+55DF	嗟	jiē
U+9499	钙	gài
U+9CB2	鲲	kūn
U+8C1A	谚	yàn
U+95FE	闾	lǘ
U+8C1F	谟	mó
U+998A	馊	sōu
U+7FE6	翦	jiǎn
U+96C9	雉	zhì
U+8671	虱	shī
U+7CE0	糠	kāng
U+9534	锴	kǎi
U+8D48	赈	zhèn
U+9AA0	骠	biāo,piào
U+65EE	旮	gā
U+5CCB	峋	xún
U+8DC6	跆	tái
U+7620	瘠	jí
U+6F78	潸	shān
U+9955	饕	tāo
U+4F5A	佚	yì
U+6DC4	淄	zī
U+8C00	谀	yú
U+9573	镳	biāo
U+5EFF	廿	niàn
U+559F	喟	kuì
U+507B	偻	lóu,lǚ
U+7EFA	绺	liǔ
U+6CB1	沱	tuó
U+56F1	囱	cōng
U+94F3	铳	chòng
U+88A4	袤	mào
U+5156	兖	yǎn
U+683E	栾	luán
U+757F	畿	jī
U+8BCC	诌	zhōu
U+8D53	赓	gēng
U+82EF	苯	běn
U+4F7B	佻	tiāo
U+7E47	繇	yóu
U+9B48	魈	xiāo
U+8C32	谲	jué
U+6CFE	泾	jīng
U+7357	獗	jué
U+9785	鞅	yāng,yàng
U+8E76	蹶	jué,juě
U+7ED4	绔	kù
U+96F9	雹	báo
U+65EF	旯	lá
U+6D31	洱	ěr
U+9984	馄	hún
U+7CB2	粲	càn
U+54C2	哂	shěn
U+8517	蔗	zhè
U+9968	饨	tún
U+5958	奘	zàng,zhuǎng
U+828D	芍	sháo
U+6DDE	淞	sōng
U+8174	腴	yú
U+525C	剜	wān
U+6C7E	汾	fén
U+987C	顼	xū
U+6FC2	濂	lián
U+871A	蜚	fēi,fěi
U+6B92	殒	yǔn
U+9E9D	麝	shè
U+9E5E	鹞	yào
U+86A4	蚤	zǎo
U+6D43	浃	jiā
U+5742	坂	bǎn
U+989A	颚	è
U+5FE4	忤	wǔ
U+6D19	洙	zhū
U+7957	祗	zhī
U+8FE4	迤	yí,yǐ
U+7726	眦	zì
U+5F57	彗	huì
U+66B9	暹	xiān
U+8D67	赧	nǎn
U+4F5D	佝	gōu
U+84AF	蒯	kuǎi
U+90E6	郦	lì
U+50EE	僮	tóng
U+94BA	钺	yuè
U+561E	嘞	lei
U+7845	硅	guī
U+73B3	玳	dài
U+86F9	蛹	yǒng
U+777E	睾	gāo
U+87AD	螭	chī
U+8D41	赁	lìn
U+76C2	盂	yú
U+7441	瑁	mào
U+4FC5	俅	qiú
U+4F97	侗	dòng
U+9A9B	骛	wù
U+5B95	宕	dàng
U+7E82	纂	zuǎn
U+5830	堰	yàn
U+53A9	厩	jiù
U+840B	萋	qī
U+9122	鄢	yān
U+5E14	帔	pèi
U+84C1	蓁	zhēn
U+6748	杈	chā,chà
U+71A8	熨	yù,yùn
U+631E	挞	tà
U+89D0	觐	jìn
U+9617	阗	tián
U+948F	钏	chuàn
U+714A	煊	xuān
U+6CEB	泫	xuàn
U+8FF3	迳	jìng
U+5914	夔	kuí
U+7F2E	缮	shàn
U+71E7	燧	suì
U+5601	嘁	qī
U+5B71	孱	chán
U+61D1	懑	mèn
U+9095	邕	yōng
U+5F67	彧	yù
U+67E9	柩	jiù
U+8006	耆	qí
U+6F15	漕	cáo
U+9E44	鹄	gǔ,hú
U+9F9B	龛	kān
U+996F	饯	jiàn
U+992E	餮	tiè
U+5E44	幄	wò
U+9E58	鹘	gǔ,hú
U+7230	爰	yuán
U+567B	噻	sāi
U+5028	倨	jù
U+6C5C	汜	sì
U+8BD9	诙	huī
U+9503	锃	zèng
U+98A7	颧	quán
U+749F	璟	jǐng
U+7EB0	纰	pī
U+7EE1	绡	xiāo
U+93D6	鏖	áo
U+77AD	瞭	liào
U+6C22	氢	qīng
U+98A2	颢	hào
U+6954	楔	xiē
U+85DC	藜	lí
U+90E2	郢	yǐng
U+59AB	妫	guī
U+6800	栀	zhī
U+5CAB	岫	xiù
U+8C25	谥	shì
U+9AA7	骧	xiāng
U+7284	犄	jī
U+8473	葳	wēi
U+8F87	辇	niǎn
U+73EA	珪	guī
U+9B51	魑	chī
U+749C	璜	huáng
U+8052	聒	guō
U+693F	椿	chūn
U+8C29	谩	màn
U+4F22	伢	yá
U+740A	琊	yá
U+9A85	骅	huá
U+9E5C	鹜	wù
U+799B	禛	zhēn
U+95E9	闩	shuān
U+988D	颍	yǐng
U+7FD5	翕	xī
U+6FE0	濠	háo
U+4EDE	仞	rèn
U+9CD7	鳗	mán
U+7396	玖	jiǔ
U+8E0A	踊	yǒng
U+7688	皈	guī
U+9A8A	骊	lí
U+75FF	痿	wěi
U+8291	芑	qǐ
U+5B51	孑	jié
U+5E3C	帼	guó
U+64B8	撸	lū
U+6A84	檄	xí
U+5575	啵	bo
U+6636	昶	chǎng
U+67DA	柚	yóu,yòu
U+7950	祐	yòu
U+7BD1	篑	kuì
U+9672	陲	chuí
U+6F4B	潋	liàn
U+4E9F	亟	jí,qì
U+6A3D	樽	zūn
U+9068	遨	áo
U+953A	锺	zhōng
U+8236	舶	bó
U+8386	莆	pú
U+86C0	蛀	zhù
U+7428	琨	kūn
U+9088	邈	miǎo
U+68C2	棂	líng
U+62BB	抻	chēn
U+643D	搽	chá
U+4FEA	俪	lì
U+94C9	铉	xuàn
U+6029	怩	ní
U+56AF	嚯	huò
U+8301	茁	zhuó
U+97ED	韭	jiǔ
U+8198	膘	biāo
U+9169	酩	mǐng
U+6994	榔	láng
U+5A29	娩	miǎn
U+5FF8	忸	niǔ
U+520E	刎	wěn
U+626A	扪	mén
U+6F33	漳	zhāng
U+5476	呶	náo
U+7444	瑄	xuān
U+4EC3	仃	dīng
U+4F5E	佞	nìng
U+996C	饬	chì
U+88E8	裨	bì
U+58F9	壹	yī
U+9EDC	黜	chù
U+5DFD	巽	xùn
U+9E42	鹂	lí
U+6EC2	滂	pāng
U+5F89	徉	yáng
U+6215	戕	qiāng
U+57C2	埂	gěng
U+50D6	僖	xī
U+7EAB	纫	rèn
U+5942	奂	huàn
U+6E89	溉	gài
U+730A	猊	ní
U+80DB	胛	jiǎ
U+535F	卟	bǔ
U+950C	锌	xīn
U+9051	遑	huáng
U+8DFB	跻	jī
U+73E3	珣	xún
U+5997	妗	jìn
U+84BF	蒿	hāo
U+949B	钛	tài
U+5CB7	岷	mín
U+8469	葩	pā
U+5095	傕	jué
U+9B43	魃	bá
U+6C55	汕	shàn
U+8821	蠡	lí,lǐ
U+82CB	苋	xiàn
U+809B	肛	gāng
U+6F5E	潞	lù
U+9615	阕	què
U+94E4	铤	tǐng
U+6860	桠	yā
U+6DBF	涿	zhuō
U+859C	薜	bì
U+90C3	郃	hé
U+6C10	氐	dī,dǐ
U+9C9B	鲛	jiāo
U+7765	睥	pì
U+6EE6	滦	luán
U+7A14	稔	rěn
U+9532	锲	qiè
U+5F9C	徜	cháng
U+54D9	哙	kuài
U+51BC	冼	xiǎn
U+7350	獐	zhāng
U+8BA7	讧	hòng
U+5599	喙	huì
U+6C28	氨	ān
U+7F2F	缯	zēng
U+8913	褓	bǎo
U+8D4A	赊	shē
U+83C0	菀	wǎn
U+9131	鄱	pó
U+7085	炅	guì,jiǒng
U+789C	碜	chěn
U+6217	戗	qiāng,qiàng
U+5AEB	嫫	mó
U+74F4	瓴	líng
U+728D	犍	jiān,qián
U+914A	酊	dīng,dǐng
U+81CC	臌	gǔ
U+94A0	钠	nà
U+954C	镌	juān
U+94C0	铀	yóu
U+7FAF	羯	jié
U+631D	挝	wō
U+8C21	谡	sù
U+9099	邙	máng
U+8941	襁	qiǎng
U+6E1A	渚	zhǔ
U+80EB	胫	jìng
U+7BB8	箸	zhù
U+9016	逖	tì
U+96CE	雎	jū
U+7825	砥	dǐ
U+8862	衢	qú
U+72D2	狒	fèi
U+9A9E	骞	qiān
U+835F	荟	huì
U+6C5B	汛	xùn
U+76E5	盥	guàn
U+775A	睚	yá
U+680E	栎	lì,yuè
U+795A	祚	zuò
U+7823	砣	tuó
U+70E9	烩	huì
U+592F	夯	hāng
U+62EE	拮	jié
U+9A77	驷	sì
U+63B4	掴	guāi
U+8629	蘩	fán
U+871E	蜞	qí
U+4E5C	乜	miē,niè
U+704F	灏	hào
U+6B93	殓	liàn
U+54D4	哔	bì
U+64E2	擢	zhuó
U+6B9B	殛	jí
U+836A	荪	sūn
U+5F87	徇	xùn
U+8E74	蹴	cù
U+5FFE	忾	kài
U+8C2F	谯	qiáo
U+9E35	鸵	tuó
U+75B9	疹	zhěn
U+97EB	韫	yùn
U+795B	祛	qū
U+81BB	膻	dàn,shān
U+9EE2	黢	qū
U+4EC4	仄	zè
U+5533	唳	lì
U+70CA	烊	yáng,yàng
U+5B40	孀	shuāng
U+65AB	斫	zhuó
U+815A	腚	dìng
U+724D	牍	dú
U+4F43	佃	diàn
U+61CB	懋	mào
U+8D61	赡	shàn
U+9E57	鹗	è
U+79E3	秣	mò
U+69B7	榷	què
U+956D	镭	léi
U+94C4	铄	shuò
U+5EBE	庾	yǔ
U+5ABE	媾	gòu
U+5AD2	嫒	ài
U+997D	饽	bō
U+4F65	佥	qiān
U+8C0C	谌	chén
U+5C15	尕	gǎ
U+556E	啮	niè
U+877C	蝼	lóu
U+95F1	闱	wéi
U+7BD9	篙	gāo
U+9021	逡	qūn
U+8191	膑	bìn
U+8365	荥	xíng,yíng
U+968D	隍	huáng
U+8568	蕨	jué
U+7F44	罄	qìng
U+90D3	郓	yùn
U+56F5	囵	lún
U+6A79	橹	lǔ
U+8BF0	诰	gào
U+8E47	蹇	jiǎn
U+7762	睢	suī
U+55B1	喱	lí
U+8093	肓	huāng
U+6988	榈	lǘ
U+7EF6	绶	shòu
U+7F79	罹	lí
U+69CA	槊	shuò
U+7457	瑗	yuàn
U+69C1	槁	gǎo
U+79F8	秸	jiē
U+88F1	裱	biǎo
U+7266	牦	máo
U+8351	荑	tí,yí
U+6ED3	滓	zǐ
U+8153	腓	féi
U+8C36	谶	chèn
U+781D	砝	fǎ
U+8210	舐	shì
U+79C6	秆	gǎn
U+834F	荏	rěn
U+909D	邝	kuàng
U+8288	芈	mǐ
U+659B	斛	hú
U+66A8	暨	jì
U+72FB	狻	suān
U+6EDF	滟	yàn
U+606B	恫	dòng
U+9E8B	麋	mí
U+7EBE	纾	shū
U+951F	锟	kūn
U+7C91	粑	bā
U+8BF3	诳	kuáng
U+6C05	氅	chǎng
U+5BEE	寮	liáo
U+9E51	鹑	chún
U+9A7D	驽	nú
U+56EB	囫	hú
U+70B7	炷	zhù
U+7F19	缙	jìn
U+5F95	徕	lái
U+5F2D	弭	mǐ
U+6A47	橇	qiāo
U+75E2	痢	lì
U+64BA	撺	cuān
U+67D1	柑	gān
U+571C	圜	huán,yuán
U+5106	儆	jǐng
U+9B49	魉	liǎng
U+598A	妊	rèn
U+5A73	婳	huà
U+77CD	矍	jué
U+72B8	犸	mǎ
U+54D3	哓	xiāo
U+9176	酶	méi
U+5E96	庖	páo
U+7F22	缢	yì
U+4FCE	俎	zǔ
U+5889	墉	yōng
U+9CAB	鲫	jì
U+85D3	藓	xiǎn
U+4F70	佰	bǎi
U+75D4	痔	zhì
U+89E5	觥	gōng
U+54DE	哞	mōu
U+65C3	旃	zhān
U+4F09	伉	kàng
U+7337	猷	yóu
U+6004	怄	òu
U+726F	牯	gǔ
U+8300	茀	fú
U+70DC	烜	xuǎn
U+9528	锨	xiān
U+8C62	豢	huàn
U+8F71	轱	gū
U+6CF5	泵	bèng
U+64C0	擀	gǎn
U+874C	蝌	kē
U+7EFB	绻	quǎn
U+5454	呔	dāi
U+7ECC	绌	chù
U+84D1	蓑	suō
U+7EA5	纥	hé
U+91C9	釉	yòu
U+7FF3	翳	yì
U+6B81	殁	mò
U+8BAB	讫	qì
U+8707	蜇	zhē,zhé
U+7827	砧	zhēn
U+6B84	殄	tiǎn
U+843C	萼	è
U+8F94	辔	pèi
U+8BEE	诮	qiào
U+80F0	胰	yí
U+870D	蜍	chú
U+6D54	浔	xún
U+949C	钜	jù
U+760C	瘌	là
U+8DBF	趿	tā
U+7600	瘀	yū
U+9E2A	鸪	gū
U+9730	霰	xiàn
U+8D5F	赟	yūn
U+7947	祇	qí
U+9E67	鹧	zhè
U+8BE8	诨	hùn
U+63BC	掼	guàn
U+50ED	僭	jiàn
U+5F01	弁	biàn
U+6E4E	湎	miǎn
U+8E49	蹉	cuō
U+6C68	汨	mì
U+6809	栉	zhì
U+918D	醍	tí
U+78EC	磬	qìng
U+94C2	铂	bó
U+84FC	蓼	liǎo
U+6CF7	泷	lóng,shuāng
U+688F	梏	gù
U+795C	祜	hù
U+9E29	鸩	zhèn
U+867A	虺	huǐ
U+8C4C	豌	wān
U+562C	嘬	zuō
U+75A1	疡	yáng
U+6772	杲	gǎo
U+835E	荞	qiáo
U+7168	煨	wēi
U+86D4	蛔	huí
U+6D9D	涝	lào
U+7116	焖	mèn
U+7949	祉	zhǐ
U+9B4D	魍	wǎng
U+9509	锉	cuò
U+8DCE	跎	tuó
U+684E	桎	zhì
U+5A20	娠	shēn
U+8BFF	诿	wěi
U+5586	喆	zhé
U+74EF	瓯	ōu
U+5048	偈	jì
U+6B9A	殚	dān
U+9541	镁	měi
U+90B3	邳	pī
U+80F1	胱	guāng
U+75C2	痂	jiā
U+520D	刍	chú
U+9190	醐	hú
U+7CC5	糅	róu
U+5CBF	岿	kuī
U+610E	愎	bì
U+8D5D	赝	yàn
U+7B33	笳	jiā
U+5501	唁	yàn
U+9F51	齑	jī
U+5D02	崂	láo
U+72CE	狎	xiá
U+8E3D	踽	jǔ
U+63C6	揆	kuí
U+9CCD	鳍	qí
U+94B9	钹	bó
U+4FA9	侩	kuài
U+5E27	帧	zhēn
U+88FE	裾	jū
U+6901	椁	guǒ
U+59EE	姮	héng
U+553F	唿	hū
U+6F8D	澍	shù
U+5D27	崧	sōng
U+887E	衾	qīn
U+9A88	骈	pián
U+4EDF	仟	qiān
U+52D6	勖	xù
U+7FB8	羸	léi
U+8C2A	谪	zhé
U+67C1	柁	tuó
U+7AA3	窣	sū
U+72F2	狲	sūn
U+69C3	槃	pán
U+73F2	珲	hún
U+86ED	蛭	zhì
U+75CD	痍	yí
U+4FE6	俦	chóu
U+7322	猢	hú
U+956B	镫	dèng
U+6221	戡	kān
U+9F39	鼹	yǎn
U+608C	悌	tì
U+6FEF	濯	zhuó
U+8385	莅	lì
U+61D4	懔	lǐn
U+54A9	咩	miē
U+8A8A	誊	téng
U+9CDD	鳝	shàn
U+97EA	韪	wěi
U+5671	噱	xué
U+5AEA	嫪	lào
U+4E93	亓	qí
U+94E9	铩	shā
U+71CF	燏	yù
U+784C	硌	gè
U+4FDA	俚	lǐ
U+6924	椤	luó
U+810D	脍	kuài
U+6C5E	汞	gǒng
U+6DD6	淖	nào
U+7098	炘	xīn
U+59D8	姘	pīn
U+8069	聩	kuì
U+6CC5	泅	qiú
U+5591	喑	yīn
U+7EE6	绦	tāo
U+94E1	铡	zhá
U+686B	桫	suō
U+607D	恽	yùn
U+858F	薏	yì
U+9052	遒	qiú
U+75E8	痨	láo
U+86AA	蚪	dǒu
U+5C59	屙	ē
U+7AB8	窸	xī
U+84BA	蒺	jí
U+89DE	觞	shāng
U+847A	葺	qì
U+7145	煅	duàn
U+60B1	悱	fěi
U+8315	茕	qióng
U+6CA8	沨	fēng
U+68EB	棫	yù
U+975B	靛	diàn
U+8BD3	诓	kuāng
U+5FDD	忝	tiǎn
U+7B94	箔	bó
U+74A0	璠	fán
U+8283	芃	péng
U+73E5	珥	ěr
U+83C5	菅	jiān
U+5DB7	嶷	yí
U+9143	酃	líng
U+5CAC	岬	jiǎ
U+81EC	臬	niè
U+8222	舢	shān
U+80B1	肱	gōng
U+7119	焙	bèi
U+9026	逦	lǐ
U+5556	啖	dàn
U+5181	冁	chǎn
U+9E37	鸷	zhì
U+8722	蜢	měng
U+83A0	莠	yǒu
U+8314	茔	yíng
U+94E8	铨	quán
U+69DA	槚	jiǎ
U+80FA	胺	àn
U+65FB	旻	mín
U+5807	堇	jǐn
U+827D	艽	jiāo
U+6E5F	湟	huáng
U+746D	瑭	táng
U+8E05	踅	xué
U+82A8	芨	jī
U+9036	逶	wēi
U+5D82	嶂	zhàng
U+94BE	钾	jiǎ
U+8DF9	跹	xiān
U+5FAD	徭	yáo
U+9E4C	鹌	ān
U+72CD	狍	páo
U+7B1E	笞	chī
U+57D9	埙	xūn
U+4EF5	仵	wǔ
U+7F1B	缛	rù
U+693D	椽	chuán
U+669D	暝	míng
U+82D5	苕	sháo
U+916E	酮	tóng
U+8C89	貉	háo,hé
U+5A7A	婺	wù
U+73A0	玠	jiè
U+7CE8	糨	jiàng
U+56FF	囿	yòu
U+94D6	铖	chéng
U+7579	畹	wǎn
U+5E0F	帏	wéi
U+955D	镝	dī
U+7F26	缦	màn
U+94E3	铣	xǐ
U+8F78	轸	zhěn
U+8202	舂	chōng
U+7898	碘	diǎn
U+9ECD	黍	shǔ
U+82AB	芫	yán,yuán
U+9994	馔	zhuàn
U+94E2	铢	zhū
U+69FF	槿	jǐn
U+8D6D	赭	zhě
U+6DAA	涪	fú
U+586C	塬	yuán
U+6C2F	氯	lǜ
U+502C	倬	zhuō
U+9161	酡	tuó
U+50A3	傣	dǎi
U+988F	颏	kē,ké
U+7F31	缱	qiǎn
U+5A9E	媞	shì
U+6D5C	浜	bāng
U+7BFE	篾	miè
U+92C6	鋆	yún
U+67D8	柘	zhè
U+7315	猕	mí
U+6849	桉	ān
U+7812	砒	pī
U+90B6	邶	bèi
U+6D0C	洌	liè
U+887F	衿	jīn
U+989B	颛	zhuān
U+872E	蜮	yù
U+9AA2	骢	cōng
U+67D2	柒	qī
U+5456	呖	lì
U+90C5	郅	zhì
U+9974	饴	yí
U+5729	圩	wéi,xū
U+832F	茯	fú
U+75B1	疱	pào
U+5704	圄	yǔ
U+741A	琚	jū
U+6A50	橐	tuó
U+94BF	钿	diàn
U+67B8	枸	gōu,gǒu,jǔ
U+8C85	貅	xiū
U+86CE	蛎	lì
U+5AF1	嫱	qiáng
U+723F	爿	pán
U+8F82	辂	lù
U+7DA6	綦	qí
U+5522	唢	suǒ
U+7B24	笤	tiáo
U+65F8	旸	yáng
U+9F2C	鼬	yòu
U+82DC	苜	mù
U+7AA0	窠	kē
U+55C4	嗄	shà
U+5345	卅	sà
U+830F	茏	lóng
U+8244	艄	shāo
U+82E1	苡	yǐ
U+8F9A	辚	lín
U+56F9	囹	líng
U+64B7	撷	xié
U+4F25	伥	chāng
U+6BD0	毐	ǎi
U+759F	疟	nüè,yào
U+9A93	骓	zhuī
U+7B4C	筌	quán
U+5C50	屐	jī
U+7301	猁	lì
U+50A9	傩	nuó
U+75BD	疽	jū
U+73D9	珙	gǒng
U+8C8A	貊	mò
U+8BDF	诟	gòu
U+9B23	鬣	liè
U+9F10	鼐	nài
U+736D	獭	tǎ
U+55DE	嗞	zī
U+737E	獾	huān
U+6D2E	洮	táo
U+909B	邛	qióng
U+8D45	赅	gāi
U+64E4	擤	xǐng
U+7A17	稗	bài
U+54B4	咴	huī
U+6942	楂	zhā
U+6C2E	氮	dàn
U+7AFD	竽	yú
U+7B93	箓	lù
U+52D0	勐	měng
U+8C14	谔	è
U+78A3	碣	jié
U+94E7	铧	huá
U+9011	逑	qiú
U+90FE	郾	yǎn
U+94C6	铆	mǎo
U+8921	褡	dā
U+6EC1	滁	chú
U+9642	陂	pí
U+5581	喁	yóng,yú
U+6E6B	湫	jiǎo,qiū
U+86BA	蚺	rán
U+94A8	钨	wū
U+94B2	钲	zhēng
U+7DAE	綮	qìng
U+8572	蕲	qí
U+9074	遴	lín
U+821B	舛	chuǎn
U+8360	荠	jì,qí
U+7395	玕	gān
U+7A1E	稞	kē
U+9604	阄	jiū
U+835A	荚	jiá
U+5AAA	媪	ǎo
U+938F	鎏	liú
U+7B0F	笏	hù
U+6092	悒	yì
U+6677	晷	guǐ
U+90D7	郗	xī
U+5BA5	宥	yòu
U+8C78	豸	zhài,zhì
U+6448	摈	bìn
U+510B	儋	dān
U+8476	葶	tíng
U+51EB	凫	fú
U+9621	阡	qiān
U+86A8	蚨	fú
U+7C95	粕	pò
U+7317	猗	yī
U+7E9B	纛	dào
U+7572	畲	shē
U+7747	睇	dì
U+6D07	洇	yīn
U+91AE	醮	jiào
U+8662	虢	guó
U+7663	癣	xuǎn
U+73D0	珐	fà
U+9146	酆	fēng
U+8BD2	诒	yí
U+8E2F	踯	zhí
U+988E	颎	jiǒng
U+998F	馏	liú,liù
U+839B	莛	tíng
U+9AED	髭	zī
U+9F88	龈	yín
U+9512	锒	láng
U+94AF	钯	bǎ
U+6979	楹	yíng
U+8D3D	贽	zhì
U+83D6	菖	chāng
U+705E	灞	bà
U+867B	虻	méng
U+82CC	苌	cháng
U+8E85	躅	zhú
U+725D	牝	pìn
U+948E	钎	qiān
U+73FA	珺	jùn
U+7566	畦	qí
U+6B24	欤	yú
U+6841	桁	héng
U+8169	腩	nǎn
U+5416	吖	ā
U+8839	蠹	dù
U+772C	眬	lóng
U+74E4	瓤	ráng
U+6DDD	淝	féi
U+9E36	鸶	sī
U+4EB3	亳	bó
U+696B	楫	jí
U+85A8	薨	hōng
U+8A07	訇	hōng
U+954A	镊	niè
U+965F	陟	zhì
U+9557	镗	tāng,táng
U+6A17	樗	chū
U+82EB	苫	shān,shàn
U+9606	阆	làng
U+8392	莒	jǔ
U+7F45	罅	xià
U+7A39	稹	zhěn
U+8C55	豕	shǐ
U+6DAB	涫	guàn
U+879F	螟	míng
U+9A9D	骝	liú
U+84FF	蓿	xu
U+7967	祧	tiāo
U+82CE	苎	zhù
U+64D8	擘	bò
U+72B4	犴	àn,hān
U+738E	玎	dīng
U+4F89	侉	kuǎ
U+4EDD	仝	tóng
U+539D	厝	cuò
U+9990	馐	xiū
U+90B0	邰	tái
U+6F4D	潍	wéi
U+5155	兕	sì
U+8D4D	赍	jī
U+9F85	龅	bāo
U+9EE9	黩	dú
U+80EA	胪	lú
U+629F	抟	tuán
U+8BE4	诤	zhèng
U+9B08	鬈	quán
U+70FA	烺	lǎng
U+82AA	芪	qí
U+83B3	莳	shí,shì
U+6BFD	毽	jiàn
U+7B47	筇	qióng
U+731E	猞	shē
U+5FFA	忺	xiān
U+782D	砭	biān
U+8171	腱	jiàn
U+6FA7	澧	lǐ
U+6308	挈	qiè
U+603C	怼	duì
U+955E	镞	zú
U+8C94	貔	pí
U+5B17	嬗	shàn
U+91B4	醴	lǐ
U+6420	搠	shuò
U+6777	杷	pá
U+85B9	薹	tái
U+674C	杌	wù
U+94EC	铬	gè
U+8BB4	讴	ōu
U+95FC	闼	tà
U+62CA	拊	fǔ
U+6B43	歃	shà
U+876E	蝮	fù
U+6C86	沆	hàng
U+665E	晞	xī
U+98CF	飏	yáng
U+70F7	烷	wán
U+7B9C	箜	kōng
U+5F40	彀	gòu
U+96E0	雠	chóu
U+8369	荩	jìn
U+63FF	揿	qìn
U+6042	恂	xún
U+71CA	燊	shēn
U+8334	茴	huí
U+766F	癯	qú
U+95FF	闿	kǎi
U+887D	衽	rèn
U+9C88	鲈	lú
U+7F1F	缟	gǎo
U+6634	昴	mǎo
U+5EEA	廪	lǐn
U+573B	圻	qí
U+5793	垓	gāi
U+5941	奁	lián
U+7619	瘙	sào
U+75EB	痫	xián
U+9EDF	黟	yī
U+8BA6	讦	jié
U+77FE	矾	fán
U+94F0	铰	jiǎo
U+6C16	氖	nǎi
U+70EF	烯	xī
U+9649	陉	xíng
U+8004	耄	mào
U+59AF	妯	zhóu
U+8E1F	踟	chí
U+83DF	菟	tù
U+9CA7	鲧	gǔn
U+955B	镛	yōng
U+5CC4	峄	yì
U+9571	镱	yì
U+7AE6	竦	sǒng
U+6426	搦	nuò
U+5421	吡	bǐ
U+9CCF	鳏	guān
U+98E8	飨	xiǎng
U+7321	猡	luó
U+75FC	痼	gù
U+8BA3	讣	fù
U+836D	荭	hóng
U+9FA2	龢	hé
U+9995	馕	náng,nǎng
U+67B0	枰	píng
U+9EFC	黼	fǔ
U+6AAB	檫	chá
U+912F	鄯	shàn
U+9C87	鲇	nián
U+917D	酽	yàn
U+4F64	佤	wǎ
U+6B59	歙	shè
U+9A98	骘	zhì
U+5981	妁	shuò
U+57A9	垩	è
U+8803	蠃	luǒ
U+9506	锆	gào
U+6787	枇	pí
U+911E	鄞	yín
U+4E69	乩	jī
U+5E42	幂	mì
U+87CA	蟊	máo
U+6CAD	沭	shù
U+57AD	垭	yā
U+9E73	鹳	guàn
U+8401	萁	qí
U+4F27	伧	cāng
U+82C1	苁	cōng
U+605A	恚	huì
U+76F1	盱	xū
U+9F0B	鼋	yuán
U+94A4	钤	qián
U+77EC	矬	cuó
U+5E11	帑	tǎng
U+4FAA	侪	chái
U+6EA6	溦	wēi
U+7A51	穑	sè
U+8136	脶	luó
U+7178	煸	biān
U+5A0C	娌	lǐ
U+7800	砀	dàng
U+5B73	孳	zī
U+868B	蚋	ruì
U+8114	脔	luán
U+7F01	缁	zī
U+7BAC	箬	ruò
U+9899	颙	yóng
U+6A2F	樯	qiáng
U+9E82	麂	jǐ
U+7331	猱	náo
U+8DF8	跸	bì
U+7511	甑	zèng
U+63AE	掮	qián
U+5C88	岈	yá
U+82BE	芾	fèi,fú
U+9F83	龃	jǔ
U+8DB8	趸	dǔn
U+6C94	沔	miǎn
U+6D98	涘	sì
U+7086	炆	wén
U+8E70	蹰	chú
U+82E3	苣	jù,qǔ
U+88E2	裢	lián
U+8438	萸	yú
U+90E7	郧	yún
U+636D	捭	bǎi
U+8B07	謇	jiǎn
U+6E49	湉	tián
U+7B2B	笫	zǐ
U+59A3	妣	bǐ
U+679E	枞	cōng,zōng
U+75A5	疥	jiè
U+5541	啁	zhāo,zhōu
U+6C30	氰	qíng
U+84B9	蒹	jiān
U+6A91	檑	léi
U+83B4	莴	wō
U+79B3	禳	ráng
U+7F0C	缌	sī
U+5924	夤	yín
U+9E6C	鹬	yù
U+73A2	玢	bīn,fēn
U+954F	镏	liú,liù
U+72EF	狯	kuài
U+7110	焐	wù
U+7E3B	縻	mí
U+5C43	屃	xì
U+9B46	魆	xū
U+839C	莜	yóu
U+816D	腭	è
U+9C91	鲑	guī
U+6DE6	淦	gàn
U+6D39	洹	huán
U+8347	荇	xìng
